Account_Level	ActiveId1	ActiveId2	ActiveId3	ActiveId4	ActivePlayerId	Assists	Ban1	Ban10	Ban10Id	Ban1Id	Ban2	Ban2Id	Ban3	Ban3Id	Ban4	Ban4Id	Ban5	Ban5Id	Ban6	Ban6Id	Ban7	Ban7Id	Ban8	Ban8Id	Ban9	Ban9Id	Camps_Cleared	Conquest_Losses	Conquest_Points	Conquest_Tier	Conquest_Wins	Damage_Bot	Damage_Done_In_Hand	Damage_Done_Magical	Damage_Done_Physical	Damage_Mitigated	Damage_Player	Damage_Taken	Damage_Taken_Magical	Damage_Taken_Physical	Deaths	Distance_Traveled	Duel_Losses	Duel_Points	Duel_Tier	Duel_Wins	Entry_Datetime	Final_Match_Level	First_Ban_Side	GodId	Gold_Earned	Gold_Per_Minute	Healing	Healing_Bot	Healing_Player_Self	ItemId1	ItemId2	ItemId3	ItemId4	ItemId5	ItemId6	Item_Active_1	Item_Active_2	Item_Active_3	Item_Active_4	Item_Purch_1	Item_Purch_2	Item_Purch_3	Item_Purch_4	Item_Purch_5	Item_Purch_6	Joust_Losses	Joust_Points	Joust_Tier	Joust_Wins	Killing_Spree	Kills_Bot	Kills_Double	Kills_Fire_Giant	Kills_First_Blood	Kills_Gold_Fury	Kills_Penta	Kills_Phoenix	Kills_Player	Kills_Quadra	Kills_Siege_Juggernaut	Kills_Single	Kills_Triple	Kills_Wild_Juggernaut	Map_Game	Mastery_Level	Match	Match_Duration	MergedPlayers	Minutes	Multi_kill_Max	Objective_Assists	PartyId	Rank_Stat_Conquest	Rank_Stat_Duel	Rank_Stat_Joust	Reference_Name	Region	Skin	SkinId	Structure_Damage	Surrendered	TaskForce	Team1Score	Team2Score	TeamId	Team_Name	Time_In_Match_Seconds	Towers_Destroyed	Wards_Placed	Win_Status	Winning_TaskForce	hasReplay	hz_gamer_tag	hz_player_name	match_queue_id	name	playerId	playerName	playerPortalId	playerPortalUserId	ret_msg
64	9041	11106	0	0	7496537	12			0	0		0		0		0		0		0		0		0		0	0	0	0	0	0	44753	3970	62099	2563	28304	19909	36918	22400	14518	8	333607	0	0	0	0	10/16/2019 12:00:09 AM	17		3811	19150	704	6201	0	9236	15477	7534	9634	7578	7594	12679	Meditation Cloak	Shield of Thorns			Evolved Guardian's Blessing	Pythagorem's Piece	Shoes of Focus	Hide of the Nemean Lion	Gem of Isolation	Oni Hunter's Garb	0	0	0	0	4	69	0	0	0	0	0	0	9	0	0	9	0	0	Joust 3v3	31	974184686	0	None	27	1	4	236803	0	0	1457.8125	Yemoja	EU	Yemoja	17627	1543	0	2	0	0	700290948	DepressedFemboy	1632	0	0	Winner	2	n	None	DRCutie	448	Normal: Joust	7496537	[Fëm]DRCutie	5	76561198037908149	None
97	9041	9120	0	0	0	10			0	0		0		0		0		0		0		0		0		0	8	0	0	0	0	71921	15932	0	99105	12852	27184	33802	13805	19825	11	433831	0	0	0	0	10/16/2019 12:00:09 AM	18		1980	18639	685	1904	0	8187	14850	9627	7575	11111	8546	7545	Meditation Cloak	Magic Shell			Hastened Katana	Ninja Tabi	The Executioner	The Crusher	Rage	Deathbringer	1	0	7	0	3	104	0	0	0	0	0	0	8	0	0	8	0	0	Joust 3v3	36	974184686	0	None	27	1	4	251587	0	1422.65625	1279.764	Nemesis	EU	Diamond	10404	644	0	2	0	0	741234	Ultimalte Dmg	1632	1	0	Winner	2	n	None	Adr3n4LiN2K16	448	Normal: Joust	0		None	None	None
29	9041	12333	0	0	7355977	11			0	0		0		0		0		0		0		0		0		0	1	0	0	0	0	28614	11269	0	50662	41808	22048	30814	16031	14783	4	399898	0	0	0	0	10/16/2019 12:00:09 AM	18		3611	18071	664	7869	4090	15088	9629	17355	12666	17356	7829	9361	Meditation Cloak	Relic			Reinforced Greaves	Pridwen	Mantle of Discord	Arondight	Brawler's Beat Stick	Spirit Robe	0	0	0	0	3	60	0	0	1	0	0	1	8	0	0	8	0	0	Joust 3v3	22	974184686	0	None	27	1	4	236803	0	0	0	Horus	EU	Horus	17044	839	0	2	0	0	700290948	DepressedFemboy	1632	0	0	Winner	2	n	None	Sephiroth316	448	Normal: Joust	7355977	[Fëm]Sephiroth316	5	76561198039732439	None
25	14154	14152	0	0	12756593	7			0	0		0		0		0		0		0		0		0		0	2	0	0	0	0	50578	4963	96769	0	9258	46191	23023	4622	18401	6	408701	0	0	0	0	10/16/2019 12:00:09 AM	20		3377	20589	756	974	0	5365	7600	8599	9634	9128	8551	16882	Aegis Amulet Upgrade	Meditation Cloak Upgrade			Rod of Tahuti	Ethereal Staff	Shoes of Focus	Soul Reaver	Bancroft's Talon	Doom Orb	0	0	0	0	7	109	0	0	0	0	0	0	15	0	0	15	0	0	Joust 3v3	16	974184686	0	None	27	1	1	0	0	0	0	Discordia	EU	Discordia	15046	1495	0	1	0	0	0		1632	0	0	Loser	2	n	None	Kalistarter	448	Normal: Joust	12756593	Kalistarter	1	None	None
87	7672	11106	0	0	3528088	13			0	0		0		0		0		0		0		0		0		0	1	0	0	0	0	30728	11059	13482	42738	39130	25492	40640	10314	30326	7	453241	0	0	0	0	10/16/2019 12:00:09 AM	20		3611	19095	702	5032	5182	11108	9836	14096	7904	7537	7641	7935	Aegis Amulet	Shield of Thorns			Void Shield	Blackthorn Hammer	Jotunn's Wrath	Mystical Mail	Breastplate of Valor	Magi's Cloak	0	0	0	0	5	64	1	0	0	0	0	0	7	0	0	6	0	0	Joust 3v3	83	974184686	0	None	27	2	1	248517	1556.25	0	1605.46875	Horus	EU	Golden	17260	214	0	1	0	0	0		1632	0	1	Loser	2	n	None	ElRentas	448	Normal: Joust	3528088	ElRentas	5	76561197988754695	None
6	12333	12333	0	0	707828449	8			0	0		0		0		0		0		0		0		0		0	0	0	0	0	0	8371	4160	0	14989	5315	6618	16373	3909	12464	12	189281	0	0	0	0	10/16/2019 12:00:09 AM	10		1991	13495	496	0	0	0	8550	7829	10482	9405	9625	0	Relic	Relic			Hydra's Lament	Brawler's Beat Stick	Odysseus' Bow	Malice	Combat Boots		0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	Joust 3v3	2	974184686	0	None	27	0	1	0	0	0	0	Ullr	EU	Ullr	9704	367	0	1	0	0	0		1632	0	0	Loser	2	n	None	Phantom1305	448	Normal: Joust	707828449	Phantom1305	1	None	None
88	7672	12333	0	0	0	2			0	0		0		0		0		0		0		0		0		0	1	0	0	0	0	20150	1782	0	27324	2608	7174	10006	6660	3346	2	199123	0	0	0	0	10/16/2019 12:00:09 AM	11		1872	8121	668	0	0	3906	15767	9627	7575	0	0	0	Aegis Amulet	Relic			Transcendence	Ninja Tabi	The Executioner				0	0	0	0	4	63	0	0	0	0	0	0	4	0	0	4	0	0	Joust 3v3	101	974184698	0	None	12	1	0	239894	0	0	1507.03125	Neith	NA	Swift Scurrier	17670	372	1	1	0	0	558529	Do Drugs Kids	729	0	0	Winner	1	n	Sworn 3volution	None	448	Normal: Joust	0		None	None	None
68	9041	12333	0	0	705243603	3			0	0		0		0		0		0		0		0		0		0	0	0	0	0	0	2780	545	0	6403	4753	3623	6279	3012	3267	0	206616	0	0	0	0	10/16/2019 12:00:09 AM	10		1848	7404	609	926	0	2953	15481	12678	9629	9839	0	0	Meditation Cloak	Relic			Evolved Warrior's Blessing	Genji's Guard	Reinforced Greaves	Emerald Mail			0	0	0	0	2	5	0	0	0	0	0	0	2	0	0	2	0	0	Joust 3v3	51	974184698	0	None	12	1	0	239894	0	0	0	Hercules	NA	Lion of Olympus	8602	0	1	1	0	0	558529	Do Drugs Kids	729	0	0	Winner	1	n	KrabPeople12	None	448	Normal: Joust	705243603	[Trºll]KrabPeople12	10	2535410877564824	None
108	9041	12333	0	0	703374629	5			0	0		0		0		0		0		0		0		0		0	2	0	0	0	0	23098	3949	30275	0	1386	7177	4804	3131	1673	0	246712	0	0	0	0	10/16/2019 12:00:09 AM	10		1869	7276	598	507	0	727	7784	9633	9851	0	0	0	Meditation Cloak	Relic			Chronos' Pendant	Shoes of the Magi	Enchanted Spear				1	0	3	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	Joust 3v3	50	974184698	0	[{'merge_datetime': 'Mar  9 2019  7:44AM', 'playerId': '11903177', 'portalId': '1'}]	12	0	0	221424	0	1503.51563	1353.49634	Vulcan	NA	Sentry	8858	0	1	1	0	0	700178986	Kiruptd Beasts	729	0	0	Winner	1	n	HyprinBeast	Hyprinbeast	448	Normal: Joust	703374629	[KBST]HyprinBeast	10	2533274809641131	None
133	7672	12333	0	0	701162809	0			0	0		0		0		0		0		0		0		0		0	2	0	0	0	0	28799	234	37771	0	1411	8972	5604	2887	2717	0	215034	0	0	0	0	10/16/2019 12:00:09 AM	11		2203	7831	644	0	0	1257	7334	9633	9851	0	0	0	Aegis Amulet	Relic			Book of Thoth	Shoes of the Magi	Enchanted Spear				0	0	0	0	2	67	0	0	1	0	0	0	2	0	0	2	0	0	Joust 3v3	102	974184698	0	None	12	1	0	219651	1556.25	1389.51929	1358.9165	Thoth	NA	Sanguine Scribe	13764	0	1	2	0	0	700267159	GRGG	729	0	0	Loser	1	n	Quail For SaIe	None	448	Normal: Joust	701162809	[ÖÎ]Quail For SaIe	10	2533274900154403	None
